# Node Results
NodeID,X,Y,Z,Ux,Uy,Uz
124,0.729592847704,0,0.0653528091225,-3.15419312741e-06,6.23547929032e-08,-2.47394118164e-05
125,0.689885046682,0,0.127299442403,1.4491371826e-07,1.17143821712e-07,-2.2524453326e-05
126,0.499075457049,0,0.065640412469,-2.56112940593e-06,-4.97074878153e-08,-1.29279989812e-05
127,0.459354707048,0,0.127246446251,1.16848778857e-07,6.74393916631e-08,-1.11484040874e-05
128,0.575658713256,0,0.0642084434246,-2.82928190211e-06,-2.5971829456e-08,-1.66039241751e-05
129,0.888714231,0,0.185744625128,3.48271320985e-06,1.87619967783e-07,-3.39888522018e-05
130,0.111285769,0,0.0642553748722,-7.08340629695e-07,-1.93795415021e-07,-7.98523936812e-07
131,0.948117564279,0,0.0956403577208,-1.66555961942e-06,1.68962856827e-07,-3.75554028367e-05
132,0.0518824357208,0,0.154359642279,1.42364191809e-07,6.45911846354e-08,-1.2581031189e-07
133,0.84236366462,0,0.126293233895,9.39283045559e-08,1.52912100659e-07,-3.12399172276e-05
134,0.15763633538,0,0.123706766105,-3.77615015515e-08,1.08499541112e-08,-1.50584948395e-06
135,0.767610603648,0,0.12724867351,1.63343080283e-07,1.27409999731e-07,-2.68808330986e-05
136,0.232323743125,0,0.122788654539,-4.31485814849e-08,3.81708397987e-08,-3.10969965754e-06
137,0.653065253058,0,0.188793784006,3.27125821186e-06,1.98868846836e-07,-2.05691968262e-05
138,0.346720756807,0,0.0617993217997,-2.02812835767e-06,-1.34961980654e-07,-6.73308433411e-06
139,0.422533929281,0,0.188210301384,2.42162715296e-06,2.1915700299e-07,-9.62103157226e-06
140,0.537362844545,0,0.127097372326,1.29870826566e-07,9.47043669103e-08,-1.47272441239e-05
141,0.729650097631,0,0.188667969266,3.46851234993e-06,1.89713722773e-07,-2.4741138523e-05
142,0.270268339722,0,0.0614567783407,-1.71644772936e-06,-1.47451791823e-07,-4.21898096424e-06
143,0.614086930986,0,0.126918338838,1.10889518281e-07,9.05700690294e-08,-1.85001863897e-05
144,0.498992509234,0,0.18857098795,2.77433239727e-06,1.82093381022e-07,-1.29427616357e-05
145,0.384631637758,0,0.125004220899,1.82213693218e-08,4.58429668074e-08,-8.05293982509e-06
146,0.0980634001883,0,0.124847007211,5.24905894908e-09,1.25371360931e-08,-5.46937412003e-07
147,0.901936599812,0,0.125152992789,2.68884648113e-08,1.66622559058e-07,-3.47787353694e-05
148,0.952017218454,0,0.0445658966729,-4.61339679362e-06,1.65153334299e-07,-3.78019067729e-05
149,0.0479827815462,0,0.205434103327,3.8641795208e-07,1.78713704484e-07,-1.91643019283e-07
150,0.951662807158,0,0.205475322414,4.67385447723e-06,1.8180080742e-07,-3.77881818437e-05
151,0.0483371928417,0,0.0445246775859,-3.70197087578e-07,-2.21299511834e-07,-1.53832039097e-07
152,0.805801220856,0.25,0.188665915676,3.50332786178e-06,8.56018868893e-08,-2.91007507718e-05
153,0.345048725106,0.25,0.185396315919,1.91189651292e-06,-1.27523041554e-07,-6.71438369227e-06
154,0.57470357453,0.25,0.188871807742,3.00003180173e-06,-2.30506160344e-08,-1.65586767589e-05
155,0.194198779144,0.25,0.0613340843238,-1.27363794423e-06,2.15095990015e-07,-2.31660257752e-06
156,0.653846153846,0.25,0.0652391831237,-3.05204645708e-06,1.98308950891e-07,-2.06122015678e-05
157,0.888891604913,0.25,0.0646891256435,-3.48398224393e-06,1.84668909479e-07,-3.39945846618e-05
158,0.424191304422,0.25,0.0646018801491,-2.33159069588e-06,2.15558092661e-07,-9.69053719156e-06
159,0.111108395087,0.25,0.185310874356,6.49423733043e-07,-1.82762601689e-07,-8.18557141174e-07
160,0.946522881714,0.25,0.154131986943,1.64377058612e-06,1.67996378422e-07,-3.74535258709e-05
161,0.0534771182859,0.25,0.0958680130572,-9.67723134712e-08,5.13995993586e-08,-1.34335902583e-07
162,0.807294867964,0.25,0.0642716726189,-3.40312972984e-06,1.90351258674e-07,-2.91920590502e-05
163,0.192705132036,0.25,0.185728327381,1.14864389716e-06,-2.13842935653e-07,-2.22524615823e-06
164,0.270222965455,0.25,0.184753107385,1.58703052265e-06,-1.27611940541e-07,-4.26923477082e-06
165,0.309905220796,0.25,0.122818609382,-1.08668512349e-07,5.60772697423e-08,-5.47686823061e-06
166,0.729592847704,0.25,0.0653528091225,-3.21687384821e-06,1.62370429506e-07,-2.47710956746e-05
167,0.689885046682,0.25,0.127299442403,9.11654090927e-08,9.68460674878e-08,-2.25539709005e-05
168,0.499075457049,0.25,0.065640412469,-2.60102872905e-06,1.65449240689e-07,-1.29653653021e-05
169,0.459354707048,0.25,0.127246446251,7.27116752289e-08,7.68307629224e-08,-1.11476267201e-05
170,0.575658713256,0.25,0.0642084434246,-2.87024202476e-06,1.7570632787e-07,-1.66133054879e-05
171,0.888714231,0.25,0.185744625128,3.44360909862e-06,1.34550363696e-07,-3.39853597476e-05
172,0.111285769,0.25,0.0642553748722,-6.31519248078e-07,1.8135527899e-07,-8.23166424043e-07
173,0.948117564279,0.25,0.0956403577208,-1.71943068956e-06,1.78978098216e-07,-3.75508995075e-05
174,0.0518824357208,0.25,0.154359642279,1.13477754417e-07,-3.0783645359e-08,-1.48756387555e-07
175,0.84236366462,0.25,0.126293233895,4.20645522487e-08,1.47660086317e-07,-3.12355016931e-05
